model,elapsed_s,rss_mb,vms_mb,soc_temp_c,pmic_temp_c,arm_clock_mhz,get_throttled_raw,throttled_any,undervoltage_any,cpu_percent_total,process_cpu_percent
rps_ssd_lite_fp32.tflite,0.13183355331420898,52.484375,499.25,55.65,,2400.0,0x0,False,False,50.0,216.21300614599426
rps_ssd_lite_fp32.tflite,0.14585614204406738,52.5,499.25,55.65,,2400.0,0x0,False,False,50.0,213.6551872957598
rps_ssd_lite_fp32.tflite,0.15933465957641602,52.5,499.25,55.1,,2400.0,0x0,False,False,50.0,222.90646249092805
rps_ssd_lite_fp32.tflite,0.17304468154907227,52.5,499.25,55.65,,2400.0,0x0,False,False,57.14285714285714,218.5694570947041
rps_ssd_lite_fp32.tflite,0.18818020820617676,52.5,499.25,56.75,,2400.0,0x0,False,False,50.0,198.27385425045318
rps_ssd_lite_fp32.tflite,0.2053842544555664,52.5,499.25,55.65,,2400.0,0x0,False,False,42.85714285714286,116.61766781645792
rps_ssd_lite_fp32.tflite,0.21896886825561523,52.5,499.25,54.55,,2400.0,0x0,False,False,60.0,219.76288023520868
rps_ssd_lite_fp32.tflite,0.23383545875549316,52.515625,499.25,56.75,,2400.0,0x0,False,False,57.14285714285714,201.76284230243184
rps_ssd_lite_fp32.tflite,0.24718189239501953,52.515625,499.25,55.65,,2400.0,0x0,False,False,57.14285714285714,224.6959583013233
rps_ssd_lite_fp32.tflite,0.26124072074890137,52.515625,499.25,56.2,,2400.0,0x0,False,False,50.0,213.47331108865885
rps_ssd_lite_fp32.tflite,0.2774343490600586,52.515625,499.25,55.65,,2400.0,0x0,False,False,50.0,185.25348884324552
rps_ssd_lite_fp32.tflite,0.29399585723876953,52.53125,499.25,56.2,,2400.0,0x0,False,False,62.5,181.1354439020469
rps_ssd_lite_fp32.tflite,0.30819272994995117,52.53125,499.25,56.75,,2400.0,0x0,False,False,40.0,211.37510922050637
rps_ssd_lite_fp32.tflite,0.32270359992980957,52.546875,499.25,57.85,,2400.0,0x0,False,False,62.5,206.85930277845415
rps_ssd_lite_fp32.tflite,0.3368344306945801,52.546875,499.25,56.2,,2400.0,0x0,False,False,50.0,211.99332448083283
rps_ssd_lite_fp32.tflite,0.3509528636932373,52.546875,499.25,55.65,,2400.0,0x0,False,False,50.0,141.74920072721162
rps_ssd_lite_fp32.tflite,0.3649938106536865,52.546875,499.25,56.75,,2400.0,0x0,False,False,50.0,213.81958758123548
rps_ssd_lite_fp32.tflite,0.37900710105895996,52.546875,499.25,57.85,,2400.0,0x0,False,False,66.66666666666667,213.8094232511687
rps_ssd_lite_fp32.tflite,0.3953402042388916,52.546875,499.25,56.75,,2400.0,0x0,False,False,33.333333333333336,183.75817816583287
rps_ssd_lite_fp32.tflite,0.41144633293151855,52.546875,499.25,56.75,,2400.0,0x0,False,False,57.14285714285714,186.36295302775625
rps_ssd_lite_fp32.tflite,0.42778825759887695,52.546875,499.25,56.75,,2400.0,0x0,False,False,33.333333333333336,122.4532254717672
rps_ssd_lite_fp32.tflite,0.44417309761047363,52.546875,499.25,56.2,,2400.0,0x0,False,False,33.333333333333336,182.95152773243942
rps_ssd_lite_fp32.tflite,0.46089935302734375,52.546875,499.25,57.3,,2400.0,0x0,False,False,50.0,179.33619066328643
rps_ssd_lite_fp32.tflite,0.4765944480895996,52.546875,499.25,56.75,,2400.0,0x0,False,False,42.85714285714286,191.47609690232107
